locus_tag	ftype	length_bp	gene	EC_number	COG	product
CDNALJOL_00001	gene	168				
CDNALJOL_00001	CDS	168				hypothetical protein
CDNALJOL_00002	gene	261				
CDNALJOL_00002	CDS	261				hypothetical protein
CDNALJOL_00003	gene	939				
CDNALJOL_00003	CDS	939				hypothetical protein
CDNALJOL_00004	gene	216				
CDNALJOL_00004	CDS	216				hypothetical protein
CDNALJOL_00005	gene	675	COQ5_1			
CDNALJOL_00005	CDS	675	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
CDNALJOL_00006	gene	2913				
CDNALJOL_00006	CDS	2913				hypothetical protein
CDNALJOL_00007	gene	654				
CDNALJOL_00007	CDS	654				hypothetical protein
CDNALJOL_00008	gene	414	tolR_1			
CDNALJOL_00008	CDS	414	tolR_1			Tol-Pal system protein TolR
CDNALJOL_00009	gene	693	tolQ_1			
CDNALJOL_00009	CDS	693	tolQ_1			Tol-Pal system protein TolQ
CDNALJOL_00010	gene	1062	ybhR_1			
CDNALJOL_00010	CDS	1062	ybhR_1		COG0842	putative multidrug ABC transporter permease YbhR
CDNALJOL_00011	gene	1137	ybhS_1			
CDNALJOL_00011	CDS	1137	ybhS_1		COG0842	putative multidrug ABC transporter permease YbhS
CDNALJOL_00012	gene	1779	ybhF_1			
CDNALJOL_00012	CDS	1779	ybhF_1		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
CDNALJOL_00013	gene	906				
CDNALJOL_00013	CDS	906				hypothetical protein
CDNALJOL_00014	gene	1452	tolC_1			
CDNALJOL_00014	CDS	1452	tolC_1			Outer membrane protein TolC
CDNALJOL_00015	gene	333				
CDNALJOL_00015	CDS	333				hypothetical protein
CDNALJOL_00016	gene	2367	xpkA			
CDNALJOL_00016	CDS	2367	xpkA	4.1.2.9		Xylulose-5-phosphate phosphoketolase
CDNALJOL_00017	gene	624				
CDNALJOL_00017	CDS	624				hypothetical protein
CDNALJOL_00018	gene	348	aroA'			
CDNALJOL_00018	CDS	348	aroA'	2.2.1.10		2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase
CDNALJOL_00019	gene	1386	pdhD			
CDNALJOL_00019	CDS	1386	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
CDNALJOL_00020	gene	915	auaH_1			
CDNALJOL_00020	CDS	915	auaH_1	1.1.1.394		Aurachin B dehydrogenase
CDNALJOL_00021	gene	516				
CDNALJOL_00021	CDS	516				hypothetical protein
CDNALJOL_00022	gene	999	glgP_1			
CDNALJOL_00022	CDS	999	glgP_1	2.4.1.1	COG0058	Glycogen phosphorylase
CDNALJOL_00023	gene	1089	glgP_2			
CDNALJOL_00023	CDS	1089	glgP_2	2.4.1.1	COG0058	Glycogen phosphorylase
CDNALJOL_00024	gene	1644	pgm			
CDNALJOL_00024	CDS	1644	pgm	5.4.2.2	COG0033	Phosphoglucomutase
CDNALJOL_00025	gene	1089				
CDNALJOL_00025	CDS	1089				IS256 family transposase ISAfe2
CDNALJOL_00026	gene	1383	ccoN1_1			
CDNALJOL_00026	CDS	1383	ccoN1_1	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
CDNALJOL_00027	gene	120				
CDNALJOL_00027	CDS	120				hypothetical protein
CDNALJOL_00028	gene	1533	emrB			
CDNALJOL_00028	CDS	1533	emrB			Colistin resistance protein EmrB
CDNALJOL_00029	gene	333				
CDNALJOL_00029	CDS	333				hypothetical protein
CDNALJOL_00030	gene	1668	ettA			
CDNALJOL_00030	CDS	1668	ettA		COG0488	Energy-dependent translational throttle protein EttA
CDNALJOL_00031	gene	288				
CDNALJOL_00031	CDS	288				hypothetical protein
CDNALJOL_00032	gene	399				
CDNALJOL_00032	CDS	399				hypothetical protein
CDNALJOL_00033	gene	798	pal_1			
CDNALJOL_00033	CDS	798	pal_1			Peptidoglycan-associated lipoprotein
CDNALJOL_00034	gene	684				
CDNALJOL_00034	CDS	684				hypothetical protein
CDNALJOL_00035	gene	756				
CDNALJOL_00035	CDS	756				hypothetical protein
CDNALJOL_00036	gene	3528				
CDNALJOL_00036	CDS	3528				hypothetical protein
CDNALJOL_00037	gene	1233	yhaO			
CDNALJOL_00037	CDS	1233	yhaO		COG0420	putative metallophosphoesterase YhaO
CDNALJOL_00038	gene	588				
CDNALJOL_00038	CDS	588				hypothetical protein
CDNALJOL_00039	gene	717				
CDNALJOL_00039	CDS	717				hypothetical protein
CDNALJOL_00040	gene	1164				
CDNALJOL_00040	CDS	1164				hypothetical protein
CDNALJOL_00041	gene	1716				
CDNALJOL_00041	CDS	1716				hypothetical protein
CDNALJOL_00042	gene	981				
CDNALJOL_00042	CDS	981				hypothetical protein
CDNALJOL_00043	gene	588				
CDNALJOL_00043	CDS	588				hypothetical protein
CDNALJOL_00044	gene	1221				
CDNALJOL_00044	CDS	1221				hypothetical protein
CDNALJOL_00045	gene	654				
CDNALJOL_00045	CDS	654				hypothetical protein
CDNALJOL_00046	gene	942				
CDNALJOL_00046	CDS	942				hypothetical protein
CDNALJOL_00047	gene	96				
CDNALJOL_00047	CDS	96				hypothetical protein
CDNALJOL_00048	gene	225				
CDNALJOL_00048	CDS	225				hypothetical protein
CDNALJOL_00049	gene	249				
CDNALJOL_00049	CDS	249				hypothetical protein
CDNALJOL_00050	gene	177				
CDNALJOL_00050	CDS	177				hypothetical protein
CDNALJOL_00051	gene	225				
CDNALJOL_00051	CDS	225				hypothetical protein
CDNALJOL_00052	gene	444				
CDNALJOL_00052	CDS	444				hypothetical protein
CDNALJOL_00053	gene	951				
CDNALJOL_00053	CDS	951				ISL3 family transposase ISPst9
CDNALJOL_00054	gene	417				
CDNALJOL_00054	CDS	417				hypothetical protein
CDNALJOL_00055	gene	693				
CDNALJOL_00055	CDS	693				hypothetical protein
CDNALJOL_00056	gene	387				
CDNALJOL_00056	CDS	387				hypothetical protein
CDNALJOL_00057	gene	177				
CDNALJOL_00057	CDS	177				hypothetical protein
CDNALJOL_00058	gene	363				
CDNALJOL_00058	CDS	363				IS1380 family transposase ISLsp3
CDNALJOL_00059	gene	549				
CDNALJOL_00059	CDS	549				hypothetical protein
CDNALJOL_00060	gene	312				
CDNALJOL_00060	CDS	312				hypothetical protein
CDNALJOL_00061	gene	864				
CDNALJOL_00061	CDS	864				hypothetical protein
CDNALJOL_00062	gene	1479	bicA			
CDNALJOL_00062	CDS	1479	bicA		COG0659	Bicarbonate transporter BicA
CDNALJOL_00063	gene	654				
CDNALJOL_00063	CDS	654				hypothetical protein
CDNALJOL_00064	gene	462				
CDNALJOL_00064	CDS	462				IS1595 family transposase ISDsba2
CDNALJOL_00065	gene	77				
CDNALJOL_00065	tRNA	77				tRNA-Arg(cct)
CDNALJOL_00066	gene	231				
CDNALJOL_00066	CDS	231				hypothetical protein
CDNALJOL_00067	gene	1314				
CDNALJOL_00067	CDS	1314				hypothetical protein
CDNALJOL_00068	gene	183				
